,Home?,Win?,Offensive Adv Season,Offensive Adv 3G,Offensive Adv 1G,Defensive Adv Season,Defensive Adv 3G,Defensive Adv 1G,Offensive H/A Adv,Defensive H/A Adv
458,0,0,0.5,6.700000000000003,10.0,-6.700000000000003,-2.700000000000003,16.0,1.2000000000000028,-4.6000000000000085
459,1,1,6.700000000000003,2.700000000000003,-16.0,-0.5,-6.700000000000003,-10.0,4.6000000000000085,-1.2000000000000028
460,0,1,2.299999999999997,-10.400000000000006,-18.0,-1.3999999999999915,16.299999999999997,5.0,2.700000000000003,3.0999999999999943
461,1,0,1.3999999999999915,-16.299999999999997,-5.0,-2.299999999999997,10.400000000000006,18.0,-3.0999999999999943,-2.700000000000003
462,0,1,0.7000000000000028,2.700000000000003,39.0,-5.400000000000006,0.29999999999999716,23.0,-1.3999999999999915,-5.299999999999997
463,1,0,5.400000000000006,-0.29999999999999716,-23.0,-0.7000000000000028,-2.700000000000003,-39.0,5.299999999999997,1.3999999999999915
464,0,0,4.1000000000000085,3.5999999999999943,14.0,7.299999999999997,8.0,10.0,-2.6000000000000085,3.9000000000000057
465,1,1,-7.299999999999997,-8.0,-10.0,-4.1000000000000085,-3.5999999999999943,-14.0,-3.9000000000000057,2.6000000000000085
466,0,1,-5.400000000000006,-8.700000000000003,-14.0,12.0,20.0,4.0,-3.4000000000000057,12.900000000000006
467,1,0,-12.0,-20.0,-4.0,5.400000000000006,8.700000000000003,14.0,-12.900000000000006,3.4000000000000057
468,0,0,0.5999999999999943,4.400000000000006,0.0,-1.5,-2.299999999999997,-31.0,-1.2000000000000028,0.8999999999999915
469,1,1,1.5,2.299999999999997,31.0,-0.5999999999999943,-4.400000000000006,0.0,-0.8999999999999915,1.2000000000000028
470,0,0,6.200000000000003,-7.700000000000003,-15.0,2.3000000000000114,-9.299999999999997,-12.0,8.299999999999997,2.5999999999999943
471,1,1,-2.3000000000000114,9.299999999999997,12.0,-6.200000000000003,7.700000000000003,15.0,-2.5999999999999943,-8.299999999999997
472,0,1,6.700000000000003,-4.599999999999994,10.0,2.4000000000000057,-1.0,8.0,3.0,-0.7999999999999972
473,1,0,-2.4000000000000057,1.0,-8.0,-6.700000000000003,4.599999999999994,-10.0,0.7999999999999972,-3.0
474,0,1,1.7000000000000028,-1.5999999999999943,16.0,-5.400000000000006,-8.0,-15.0,0.7999999999999972,-8.400000000000006
475,1,0,5.400000000000006,8.0,15.0,-1.7000000000000028,1.5999999999999943,-16.0,8.400000000000006,-0.7999999999999972
476,0,0,9.0,21.700000000000003,19.0,-3.1000000000000085,-6.700000000000003,-11.0,10.0,-4.699999999999989
477,1,1,3.1000000000000085,6.700000000000003,11.0,-9.0,-21.700000000000003,-19.0,4.699999999999989,-10.0
478,0,1,-14.599999999999994,-15.599999999999994,-21.0,-2.3999999999999915,4.299999999999997,1.0,-14.0,-0.5
479,1,0,2.3999999999999915,-4.299999999999997,-1.0,14.599999999999994,15.599999999999994,21.0,0.5,14.0
480,0,0,5.6000000000000085,1.0,6.0,-0.20000000000000284,4.400000000000006,9.0,6.200000000000003,-1.9000000000000057
481,1,1,0.20000000000000284,-4.400000000000006,-9.0,-5.6000000000000085,-1.0,-6.0,1.9000000000000057,-6.200000000000003
482,0,1,5.8999999999999915,5.0,29.0,-4.0,-4.299999999999997,26.0,1.7000000000000028,-6.099999999999994
483,1,0,4.0,4.299999999999997,-26.0,-5.8999999999999915,-5.0,-29.0,6.099999999999994,-1.7000000000000028
484,0,0,3.6000000000000085,11.0,-4.0,0.5999999999999943,9.299999999999997,5.0,-0.3999999999999915,1.1000000000000085
485,1,1,-0.5999999999999943,-9.299999999999997,-5.0,-3.6000000000000085,-11.0,4.0,-1.1000000000000085,0.3999999999999915
486,0,1,-7.0,-16.599999999999994,-18.0,-12.600000000000009,-8.599999999999994,-20.0,-4.699999999999989,-10.299999999999997
487,1,0,12.600000000000009,8.599999999999994,20.0,7.0,16.599999999999994,18.0,10.299999999999997,4.699999999999989
488,0,1,-3.0,1.0,7.0,4.8999999999999915,5.599999999999994,-14.0,-4.299999999999997,4.099999999999994
489,1,0,-4.8999999999999915,-5.599999999999994,14.0,3.0,-1.0,-7.0,-4.099999999999994,4.299999999999997
490,0,0,-2.3000000000000114,4.400000000000006,5.0,-3.3000000000000114,-4.0,-7.0,-2.0,-0.4000000000000057
491,1,1,3.3000000000000114,4.0,7.0,2.3000000000000114,-4.400000000000006,-5.0,0.4000000000000057,2.0
492,0,1,-5.199999999999989,2.299999999999997,-13.0,5.200000000000003,13.299999999999997,-3.0,-4.3999999999999915,0.9000000000000057
493,1,0,-5.200000000000003,-13.299999999999997,3.0,5.199999999999989,-2.299999999999997,13.0,-0.9000000000000057,4.3999999999999915
494,0,1,2.799999999999997,-0.7000000000000028,-15.0,2.0999999999999943,8.700000000000003,-4.0,5.200000000000003,-0.10000000000000853
495,1,0,-2.0999999999999943,-8.700000000000003,4.0,-2.799999999999997,0.7000000000000028,15.0,0.10000000000000853,-5.200000000000003
496,0,1,-0.5,16.0,23.0,3.4000000000000057,1.2999999999999972,31.0,-2.4000000000000057,4.5
497,1,0,-3.4000000000000057,-1.2999999999999972,-31.0,0.5,-16.0,-23.0,-4.5,2.4000000000000057
498,0,0,8.399999999999991,9.0,-6.0,4.199999999999989,17.400000000000006,6.0,13.599999999999994,6.6000000000000085
